,gene_symbol,SD_ratio,LFC,DV,se_DV,z_DV,adj_pval_DV,sigma1,sigma2,indicator_SIEVE,indicator_MDSeq,indicator_GAMLSS
ENSG00000176165,FOXG1,0.275375123618925,-1.86052985731937,-0.473406991621667,0.0550554689738673,-8.59872780025496,1.56632488856876e-12,0.653313192870163,0.179906201248495,1,1,1
ENSG00000124249,KCNK15,0.364831873758663,-1.45469631794835,-0.467813403784631,0.0658984689270844,-7.09900262329704,8.13952818612458e-08,0.736519016709729,0.268705612925099,1,1,1
ENSG00000004848,ARX,0.374842479785556,-1.41564363627878,-0.431494913635692,0.0621349832451375,-6.94447622096139,1.84541308842713e-07,0.690217904581358,0.258722990945666,1,1,1
ENSG00000196110,ZNF699,0.388517645469008,-1.36394797128005,-0.357539652136845,0.0542021969807721,-6.59640516534191,1.16939296520759e-06,0.584709680479787,0.227170028342943,1,1,1
ENSG00000203618,GP1BB,0.394778418877637,-1.34088496990869,-0.455123142721526,0.0672349134212961,-6.76914893709627,5.03457730417291e-07,0.751994239659325,0.296871096937799,1,1,1
ENSG00000196639,HRH1,0.396934032504238,-1.33302883282622,-0.351835716775019,0.0558534881702343,-6.29926130491025,3.63221155565547e-06,0.583411659318168,0.231575942543149,1,1,1
ENSG00000255301,AP002893.1,0.403184243395591,-1.31048883605753,-0.540358934042766,0.084527915938852,-6.39266836335661,2.63979262254883e-06,0.905403264010899,0.365044329968133,1,1,1
ENSG00000270689,BUD13P1,0.407207482378132,-1.29616402391912,-0.484384803336201,0.0740744683001972,-6.5391600432846,1.33575417847855e-06,0.817123679764768,0.332738876428566,1,1,1
ENSG00000011376,LARS2,0.408065175754846,-1.29312849850232,-0.210107607944319,0.0324819576340456,-6.46844042811316,1.86363084578538e-06,0.35495057789893,0.144842969954611,1,1,1
ENSG00000141456,PELP1,0.410449327948644,-1.28472396991124,-0.168030514503357,0.0250851480754417,-6.69840632385417,6.82409369494116e-07,0.285014541529892,0.116984027026535,1,1,1
ENSG00000279553,ENSG00000279553,0.411054672835339,-1.28259780077927,-0.487881784655699,0.0768751339635739,-6.3464186597304,3.05897497698026e-06,0.828399109649943,0.340517324994244,1,1,1
ENSG00000267890,AC010624.2,0.411537227629384,-1.28090515224288,-0.488829997254383,0.0746258447125665,-6.55041157841751,1.33575417847855e-06,0.830689756779577,0.341859759525194,1,1,1
ENSG00000237522,NONOP2,0.411845308950523,-1.27982553883066,-0.440627310662776,0.0692852605299895,-6.359611081668,3.02342924769163e-06,0.749169083182079,0.308541772519303,1,1,1
ENSG00000253861,SLC2A3P1,0.418414429292271,-1.25699549017284,-0.412396916781061,0.0681378996984341,-6.0523866835675,8.49828690713744e-06,0.709090695422889,0.296693778641828,1,1,1
ENSG00000136141,LRCH1,0.41918087833128,-1.2543551875679,-0.242455396997657,0.0375384199942512,-6.45885993696024,1.86363084578538e-06,0.417437009134739,0.174981612137082,1,1,1
ENSG00000236668,AC006450.3,0.419446272075407,-1.25344207081243,-0.399569646639136,0.0636801999796099,-6.27462926886342,4.00610054588544e-06,0.688256103474776,0.288686456835641,1,1,1
ENSG00000261096,AC073476.3,0.421769831650271,-1.24547218914668,-0.399097804278655,0.0647012411071615,-6.16831760023967,6.46766553928881e-06,0.690205779850058,0.291107975571403,1,1,1
ENSG00000172349,IL16,0.421796541046761,-1.24538083056454,-0.384608796572001,0.0652116759025102,-5.89785174585884,1.35196514578973e-05,0.665178996452709,0.280570199880708,1,1,1
ENSG00000136925,TSTD2,0.423081958899264,-1.24099092741928,-0.275291841764498,0.0449284442582848,-6.12733973564495,7.54987703944153e-06,0.477176690885332,0.201884849120835,1,1,1
ENSG00000106689,LHX2,0.425017459799432,-1.23440598622841,-0.419342445988914,0.0675747581700732,-6.20560779416342,5.57253187809129e-06,0.729313355919707,0.309970909930793,1,1,1
ENSG00000140939,NOL3,0.426811335059291,-1.22832960378436,-0.283181666516646,0.0474793886129748,-5.96430735081666,1.14328453219199e-05,0.49404617334144,0.210864506824794,1,1,1
ENSG00000104969,SGTA,0.429466377366057,-1.21938290672735,-0.166134950670997,0.0284848719826883,-5.83239239312593,1.60869879465675e-05,0.291192217391174,0.125057266720177,1,1,1
ENSG00000114450,GNB4,0.430105195868929,-1.21723853507874,-0.428107524477443,0.0730541294639812,-5.8601413447616,1.47325812415331e-05,0.751204470323583,0.32309694584614,1,1,1
ENSG00000273217,AC008695.1,0.431365383053965,-1.21301768959953,-0.397895639705029,0.06644583725215,-5.98827038923576,1.08454314321441e-05,0.69973868605117,0.301843046346141,1,1,1
ENSG00000276547,PCDHGB5,0.431998297043795,-1.21090246965444,-0.425040887813655,0.0733972134489953,-5.79096763815184,1.90853515371142e-05,0.748309178654746,0.323268290841091,1,1,1
ENSG00000204435,CSNK2B,0.434287085077705,-1.20327904463157,-0.15022724254471,0.0243916481089887,-6.15896235766655,6.46766553928881e-06,0.265553849986515,0.115326607441806,1,1,1
ENSG00000229152,ANKRD10-IT1,0.434505077796103,-1.20255505785125,-0.364611420197389,0.059621976448464,-6.11538633766279,7.58175848834721e-06,0.644765153286245,0.280153733088856,1,1,1
ENSG00000132323,ILKAP,0.434631868708831,-1.20213413310963,-0.137464081682901,0.02289248390693,-6.00476917409946,1.06379796549431e-05,0.243140838817648,0.105676757134747,1,1,1
ENSG00000130733,YIPF2,0.435018001308135,-1.20085299309696,-0.168881355335431,0.0284090382356712,-5.94463472978042,1.17046896232988e-05,0.298914577325386,0.130033221989955,1,1,1
ENSG00000169221,TBC1D10B,0.435718808152372,-1.19853070519979,-0.161586870217653,0.0274939489027928,-5.87717940369195,1.40767381263099e-05,0.286358773874012,0.124771903656359,1,1,1
ENSG00000267520,AC010733.2,0.437834493317886,-1.19154247801495,-0.206507477934477,0.033846275203673,-6.10133542588658,7.86151362155619e-06,0.367342847399653,0.160835369465177,1,1,1
ENSG00000261934,PCDHGA9,0.438304440947262,-1.18999479841098,-0.338924566990823,0.0570785851631701,-5.93785858605189,1.19391826761455e-05,0.603395489831532,0.264470922840709,1,1,1
ENSG00000177600,RPLP2,0.440850131726329,-1.1816398040986,-0.256137199294456,0.0446912598352032,-5.73125931645135,2.40298550102738e-05,0.458083268597127,0.201946069302671,1,1,1
ENSG00000155287,SLC25A28,0.440949276426526,-1.18131538662546,-0.17811032678701,0.0298867179348129,-5.95951442963706,1.14328453219199e-05,0.31859421565278,0.14048388886577,1,1,1
ENSG00000076924,XAB2,0.441164064055068,-1.18061281692507,-0.141433230273057,0.0240879506891107,-5.8715343658103,1.42210785694374e-05,0.253085424855345,0.111652194582287,1,1,1
ENSG00000090054,SPTLC1,0.441525233661085,-1.17943220302175,-0.232624082107416,0.0388271323755595,-5.99127640582196,1.08454314321441e-05,0.416534633484668,0.183910551377252,1,1,1
ENSG00000135776,ABCB10,0.442723659506802,-1.17552162061341,-0.128020872826502,0.0207754557014779,-6.16212104639395,6.46766553928881e-06,0.229726014768906,0.101705141942404,1,1,1
ENSG00000181418,DDN,0.443847548916149,-1.17186386468694,-0.492036864052949,0.0811971794469884,-6.05977778297321,8.49828690713744e-06,0.884715806060099,0.39267894200715,1,1,1
ENSG00000089902,RCOR1,0.443855057417214,-1.17183945904213,-0.119282484807768,0.0189225633113292,-6.30371704114483,3.63221155565547e-06,0.214480930553481,0.0951984457457127,1,1,1
ENSG00000106400,ZNHIT1,0.444467756425433,-1.16984933124825,-0.186830472791227,0.0336627417777395,-5.55006701547924,4.36658049516701e-05,0.336308963074885,0.149478490283658,1,1,1
ENSG00000071889,FAM3A,0.444969042564251,-1.1682231266569,-0.191218137943955,0.0347629243518061,-5.5006344117888,4.811577405883e-05,0.344517968560504,0.153299830616548,1,1,1
ENSG00000153266,FEZF2,0.446891797773643,-1.16200252905326,-0.356247040044262,0.0598592422140354,-5.95141246142825,1.14886126135e-05,0.644082005311629,0.287834965267367,1,1,1
ENSG00000171604,CXXC5,0.447140242708795,-1.16120070032929,-0.164586784088085,0.0304009928266888,-5.41386214017313,6.2752532771704e-05,0.297700785628702,0.133114001540617,1,1,1
ENSG00000214026,MRPL23,0.44720148921766,-1.16100310240538,-0.239328424616482,0.0407177650404699,-5.87773971333177,1.40767381263099e-05,0.43293970578498,0.193611281168499,1,1,1
ENSG00000280173,AC104447.1,0.448363247939482,-1.15726006872548,-0.340812023288043,0.0577878732109801,-5.89763914729582,1.35196514578973e-05,0.617819646742199,0.277007623454156,1,1,1
ENSG00000010244,ZNF207,0.449111137245521,-1.1548555957722,-0.111653161718755,0.0178999929105247,-6.23760927039842,4.79660894983029e-06,0.202678197487024,0.0910250357682699,1,1,1
ENSG00000107036,RIC1,0.44961991657303,-1.15322215162226,-0.15929871437395,0.0263215119230097,-6.05203511256869,8.49828690713744e-06,0.289434009643061,0.130135295269111,1,1,1
ENSG00000176994,SMCR8,0.449672584439721,-1.15305316618073,-0.373885086132851,0.0660816572686788,-5.65792538484146,3.26876130785332e-05,0.679386626145463,0.305501540012613,1,1,1
ENSG00000130522,JUND,0.450152273682308,-1.15151498827698,-0.259318219801666,0.0448771369768483,-5.77840382142573,1.92820174329629e-05,0.471618245179096,0.21230002537743,1,1,1
ENSG00000169020,ATP5ME,0.451003721549943,-1.14878875666281,-0.258975197640529,0.0456451920549303,-5.67365774973349,3.12211257305607e-05,0.471724869195244,0.212749671554715,1,1,1
ENSG00000184209,SNRNP35,0.451346489264987,-1.14769270925122,-0.180891667267264,0.0321388676329474,-5.6284393505458,3.44596351167688e-05,0.329701102294833,0.148809435027569,1,1,1
ENSG00000069020,MAST4,0.452239761653202,-1.14484025313394,-0.200487459142879,0.053228436030165,-3.76654799756396,0.0110606017990813,0.366013166176451,0.165525707033572,1,1,1
ENSG00000047849,MAP4,0.452342212303165,-1.14451346120236,-0.243427200945944,0.0421651472095556,-5.77318513169516,1.96307850531285e-05,0.444487792220891,0.201060591274947,1,1,1
ENSG00000269145,AC007192.2,0.452456582145799,-1.1441487374501,-0.394747560568279,0.0652412001056585,-6.0505870512649,8.49828690713744e-06,0.720942938397978,0.326195377829699,1,1,1
ENSG00000171222,SCAND1,0.452628898275681,-1.14359939789174,-0.241041504913946,0.0428602203854034,-5.62389793487939,3.44596351167688e-05,0.440362131202435,0.199320626288489,1,1,1
ENSG00000241111,PRICKLE2-AS1,0.452882079933507,-1.14279264029189,-0.51909648806664,0.0922637125481531,-5.6262258880567,3.44596351167688e-05,0.948783560230586,0.429687072163946,1,1,1
ENSG00000204524,ZNF805,0.453604252191192,-1.14049393038678,-0.266659754803645,0.0453752116360597,-5.87677159376002,1.40767381263099e-05,0.488034095933252,0.221374341129607,1,1,1
ENSG00000169692,AGPAT2,0.454731093476338,-1.13691443923151,-0.234738453653512,0.0383974751164019,-6.11338253210408,7.58175848834721e-06,0.430500347342519,0.195761893689007,1,1,1
ENSG00000134222,PSRC1,0.455115129791488,-1.13569654700726,-0.244068852320514,0.0407024500892812,-5.9964167214786,1.08454314321441e-05,0.447927380011699,0.203858527691186,1,1,1
ENSG00000172985,SH3RF3,0.455214608243623,-1.13538123912673,-0.177711353491018,0.0301032127542295,-5.90340157184883,1.35196514578973e-05,0.326204329594963,0.148492976103945,1,1,1
ENSG00000132849,PATJ,0.455220701412659,-1.13536192839777,-0.169617706773432,0.0290461898714379,-5.83958541633794,1.60241481283393e-05,0.311351233817556,0.141733527044125,1,1,1
ENSG00000175756,AURKAIP1,0.45548162155051,-1.13453525168957,-0.165997875782849,0.0287168184084185,-5.78051068965862,1.92820174329629e-05,0.304852659437365,0.138854783654516,1,1,1
ENSG00000178502,KLHL11,0.456638746592823,-1.13087481494441,-0.441951745247605,0.0803007274949188,-5.50370786211831,4.811577405883e-05,0.813366323925973,0.371414578678368,1,1,1
ENSG00000182472,CAPN12,0.456760391895661,-1.13049054246419,-0.280418438472491,0.0525495926255364,-5.33626284166897,7.65196180473155e-05,0.516196599601831,0.23577816112934,1,1,1
ENSG00000186010,NDUFA13,0.4568772381451,-1.13012152634666,-0.208157956131268,0.037376990908719,-5.56914698242096,4.1802004786047e-05,0.383261337492755,0.175103381361487,1,1,1
ENSG00000185070,FLRT2,0.457524410489909,-1.12807937672948,-0.316422326309186,0.0642631584478519,-4.92385270117023,0.000303674534099547,0.583293206971667,0.266870880662481,1,1,1
ENSG00000226439,AC108161.1,0.457667741603501,-1.12762748673457,-0.30152960885485,0.0494899812597202,-6.0927404129018,7.98835921508956e-06,0.555986858953173,0.254457250098323,1,1,1
ENSG00000150471,ADGRL3,0.457683301858777,-1.12757843734902,-0.19474069826767,0.0366035551318694,-5.32026732283489,8.08620562642295e-05,0.359090359812152,0.164349661544482,1,1,1
ENSG00000105258,POLR2I,0.457692353842545,-1.12754990425004,-0.200591807336966,0.0363682458224715,-5.51557554675961,4.62699792906792e-05,0.369885633658807,0.169293826321841,1,1,1
ENSG00000165644,COMTD1,0.457818942141394,-1.12715093962131,-0.234151929120766,0.0393447744217707,-5.95128406661297,1.14886126135e-05,0.431870360881973,0.197718431761207,1,1,1
ENSG00000071859,FAM50A,0.457823349014632,-1.12713705259528,-0.21733024572222,0.0390682702832682,-5.56283255302696,4.18743258291906e-05,0.400847667134388,0.183517421412168,1,1,1
ENSG00000260916,CCPG1,0.457990170222461,-1.12661146059024,-0.170954861836401,0.0308537688728533,-5.54080969948589,4.3989278219912e-05,0.315409153938348,0.144454292101946,1,1,1
ENSG00000142546,NOSIP,0.458486799121237,-1.1250478989438,-0.165042171885567,0.0272168786138344,-6.06396399187657,8.49828690713744e-06,0.304779591001176,0.139737419115609,1,1,1
ENSG00000266728,AC015688.5,0.45852528708723,-1.12492679607386,-0.252128350312931,0.043115380213454,-5.847758945061,1.56159619808459e-05,0.465632732794945,0.213504382482014,1,1,1
ENSG00000223343,AC137630.1,0.458626883818882,-1.12460716950332,-0.217141185344535,0.0387825794691125,-5.59893612846128,3.70881987431821e-05,0.401093402783395,0.18395221743886,1,1,1
ENSG00000130590,SAMD10,0.458641597467321,-1.124560885764,-0.270862370891567,0.0454109260048859,-5.96469604831279,1.14328453219199e-05,0.50033835186518,0.229475980973612,1,1,1
ENSG00000069667,RORA,0.459394842902701,-1.12219343355781,-0.253681177616089,0.0452109379675143,-5.61105761173034,3.585041101224e-05,0.469254083660972,0.215572906044883,1,1,1
ENSG00000242539,AC007620.2,0.459406519391342,-1.12215676488719,-0.287523811595243,0.0503949083126717,-5.70541392418698,2.71724654241663e-05,0.531866960865895,0.244343149270652,1,1,1
ENSG00000256973,AC053513.1,0.459549263127426,-1.12170856991255,-0.452087006677838,0.0834773676668991,-5.41568354768692,6.2752532771704e-05,0.836499935764597,0.38441292908676,1,1,1
